rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,track_id,rank_tier,popularity,duration_ms,explicit,album_type,total_tracks,duration_min
34,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,33,155,162019,13,6QQGjrXpBQjVTdSGaOUyRt,Top 50,10.781094907230663,160000,True,album,19,2.6666666666666665
35,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,35,242,153870,13,7xWvRVssTTECvWCDNgCzSH,Top 50,9.263525253409364,246000,False,single,1,4.1
36,spotify:track:6e4MfehUZ1wzSPwbOG3N4A,Black Cat,BMW,Atlantic France,36,46,4,149682,13,6e4MfehUZ1wzSPwbOG3N4A,Top 50,8.483603580786514,145631,True,single,1,2.427183333333333
37,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,38,84,149121,13,0MsHYntRES1QW1VtuhfdUk,Top 50,8.379129832376433,172258,True,album,15,2.8709666666666664
38,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,43,305,148041,13,6wggq2ikhLMnS0o1deK2Xz,Top 50,8.178003899608363,184988,True,album,13,3.083133333333333
39,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,42,234,146697,13,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,7.927713849941432,194607,False,album,12,3.24345
40,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,32,214,145593,13,3MNBUdX7zP4E0UhlfYenMf,Top 50,7.722118452000737,199826,True,album,14,3.330433333333333
41,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,31,40,56,143703,13,7l3b0X95GdYfRuW8Kq5ixC,Top 50,7.370148069656615,150476,True,album,8,2.5079333333333333
42,spotify:track:68oBz6xab6ATAobLCbtZXX,Ronisia,Solide,Epic,27,41,83,142535,13,68oBz6xab6ATAobLCbtZXX,Top 50,7.152634097922257,212400,False,single,5,3.54
43,spotify:track:0LVo3mfYzZuCRADfUMczcX,Booba,Seychelles,Universal Music Distribution Deal,10,39,8,142094,13,0LVo3mfYzZuCRADfUMczcX,Top 50,7.070507675375295,158332,True,single,1,2.6388666666666665
44,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,18,30,56,141812,13,59D4DOkspUbWyMmbAPQkxZ,Top 50,7.017991459596966,156364,True,album,17,2.6060666666666665
45,spotify:track:65lCFhOz5RyYH52JryAf10,"Meryl, Eva",Coco Chanel,Maison Caviar,19,58,78,140382,13,65lCFhOz5RyYH52JryAf10,Top 50,6.751685826394799,130800,True,album,17,2.18
46,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,52,140,140284,13,1xOqGUkyxGQRdCvGpvWKmL,Top 50,6.733435510273251,197226,False,single,2,3.2871
47,spotify:track:66ku4Gq4k5xUqdVL4Oam2r,Werenoi,Poney,PLR Music / PGP Records,4,37,309,138997,13,66ku4Gq4k5xUqdVL4Oam2r,Top 50,6.493760440391301,230000,True,album,17,3.8333333333333335
48,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,10,50,337,137766,13,2RkZ5LkEzeHGRsmDqKwmaJ,Top 50,6.264514122578807,186964,False,album,11,3.1160666666666668
49,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,21,44,208,137346,13,1rIKgCH4H52lrvDcz50hS8,Top 50,6.18629848205789,200646,False,album,15,3.3441
50,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,4,36,1052,136667,13,5kfAx6phDHPpz5g8IAPyc2,Top 50,6.059849863215743,212093,True,album,18,3.534883333333333
1,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,142,641104,14,55vPnuXfuzXNW75JpuSczF,Top 10,100.0,176213,False,album,20,2.9368833333333333
2,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,114,524245,14,1yGJ40k7HLF3odITZPoQs4,Top 10,78.23761539134824,130500,False,single,1,2.175
3,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,3,39,466630,14,0T1CzbjyOEU60cL5G244di,Top 10,67.50810556131826,125454,True,single,1,2.0909
4,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,4,125,451985,14,35eK52MQkpWLxwyIAGKKXT,Top 10,64.78080066744013,147692,True,single,1,2.461533333333333
5,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,8,121,360798,14,7EyB1sN9IUO1YXIoHTyZRk,Top 10,47.799253971771606,141389,False,album,25,2.3564833333333333
6,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,6,75,355121,14,3Bu67MTSsLLJNyZ8qg3itI,Top 10,46.742039230730555,164986,True,album,14,2.7497666666666665
7,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,30,352995,14,2ZxulKXVUpatqUe0quNMtP,Top 10,46.34611910752229,182000,True,single,1,3.033333333333333
8,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,5,9,320,315528,14,5TFD2bmFKGhoCRbX61nXY5,Top 10,39.368725289909996,183685,False,album,17,3.0614166666666667
9,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,7,393,314891,14,3sK8wGT43QFpWrvNQsrQya,Top 10,39.25009823511994,237117,True,album,17,3.95195
10,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,11,198,286477,14,0wLCA75tmsos5ZcVzqHFQ1,Top 10,33.958623926164435,158859,False,album,18,2.64765
11,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,13,30,280289,14,5UpupDvr2w93ccnEmmhS5q,Top 25,32.806246822489605,183307,False,single,1,3.0551166666666667
12,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,12,100,272808,14,4eGoCBOGEAQty5nfWRC0VD,Top 25,31.41307728263967,201103,False,single,1,3.3517166666666665
13,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,11,14,27,261530,14,5yVEQgC0GuEvvEcv9D8NpG,Top 25,29.312801106937542,125179,False,single,1,2.086316666666667
14,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,15,243,258667,14,4ffqxU54Ll4YRz5NVBe77w,Top 25,28.779631157386632,174493,True,album,17,2.9082166666666667
15,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,11,16,12,239738,14,1IHWl5LamUGEuP4ozKQSXZ,Top 25,25.25452673019515,243716,True,album,23,4.061933333333333
16,spotify:track:39zpVyhyhefIUTW8XXxv01,"GIMS, Maes",T'avais raison,Black Belt,10,10,2,238449,14,39zpVyhyhefIUTW8XXxv01,Top 25,25.014479204882146,181083,True,single,1,3.01805
17,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,8,17,94,224853,14,2lTm559tuIvatlT1u0JYG2,Top 25,22.482527184590772,367725,True,album,17,6.12875
18,spotify:track:2Gysuuhf0SEoIsEiRuLVcY,Theodora,Des mythos,Virgin Records FR LAS (S&D),16,18,9,222787,14,2Gysuuhf0SEoIsEiRuLVcY,Top 25,22.097780724314077,177601,True,single,1,2.9600166666666667
19,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,12,21,149,214416,14,55lijDD6OAjLFFUHU9tcDm,Top 25,20.53886851764601,196795,False,single,1,3.279916666666667
20,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,19,170,213300,14,3qhlB30KknSejmIvZZLjOD,Top 25,20.331038387119,159245,False,album,13,2.6540833333333333
21,spotify:track:5dnM53F6iHQZbyu8k5HUSg,"Soolking, L2B",Tour du monde,Universal Music MENA Distributed Labels,5,24,205,208519,14,5dnM53F6iHQZbyu8k5HUSg,Top 25,19.440683679189238,171489,False,album,15,2.85815
22,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,22,37,204372,14,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,18.668397342902953,152282,True,album,16,2.5380333333333334
23,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,23,135,199578,14,53iuhJlwXhSER5J2IYYv1W,Top 25,17.775621674671356,226073,False,album,12,3.767883333333333
24,spotify:track:1LmeIVvg4CVTu6kicEVoAr,"Theodora, Jul",ZOU BISOU,Virgin Records FR LAS (S&D),6,29,261,197114,14,1LmeIVvg4CVTu6kicEVoAr,Top 25,17.316756583615316,162041,True,album,25,2.700683333333333
25,spotify:track:61CH0VrEAdCQuhuFitZr18,Black Cat,Na Za Désolé,Atlantic France,25,28,6,191735,14,61CH0VrEAdCQuhuFitZr18,Top 25,16.315037701801007,207600,True,single,1,3.46
26,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,38,306,187424,14,6wggq2ikhLMnS0o1deK2Xz,Top 50,15.512210020168462,184988,True,album,13,3.083133333333333
27,spotify:track:4zipUPcZZkWmxn2TEMummt,"La Rvfleuze, Freeze corleone",Serrure #667,SERRURE RECORDS / ATLANTIC FRANCE,13,20,9,183427,14,4zipUPcZZkWmxn2TEMummt,Top 50,14.767857841211077,147810,True,single,1,2.4635
28,spotify:track:3kql0qldZ3x5qUxwmUgYGa,Nono La Grinta,Paris,MPR Records,1,26,318,183153,14,3kql0qldZ3x5qUxwmUgYGa,Top 50,14.716831447156956,172259,True,album,9,2.870983333333333
29,spotify:track:29rkopcjI0XyhncrHOdWm0,Ashvma,FOCUS,PDS RECORDS,15,27,57,176395,14,29rkopcjI0XyhncrHOdWm0,Top 50,13.458304545632307,138005,False,single,1,2.3000833333333333
30,spotify:track:2hndzMd89P8nEG4jTRurPk,RnBoi,BTRD,DOUBLE JEU RECORDS,7,31,229,171614,14,2hndzMd89P8nEG4jTRurPk,Top 50,12.567949837702546,140487,False,single,1,2.34145
31,spotify:track:4R0HXKZBeDJerIq9oCnDIp,Bouss,Biff pas d'love,Le Grand Carré / Level Up Music,4,32,159,169974,14,4R0HXKZBeDJerIq9oCnDIp,Top 50,12.26253638423992,154455,True,album,43,2.57425
32,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,34,156,168142,14,6QQGjrXpBQjVTdSGaOUyRt,Top 50,11.921367209396305,160000,True,album,19,2.6666666666666665
33,spotify:track:6e4MfehUZ1wzSPwbOG3N4A,Black Cat,BMW,Atlantic France,33,36,5,167775,14,6e4MfehUZ1wzSPwbOG3N4A,Top 50,11.853021637798268,145631,True,single,1,2.427183333333333
34,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,12,25,34,167302,14,6J5kc12BW5HuP3d7C3vvx8,Top 50,11.764935928354474,204768,True,album,17,3.4128
35,spotify:track:74bFjTmlTbZVH9lG3EH7C2,La Rvfleuze,Serrure #5,SERRURE RECORDS,5,30,184,166012,14,74bFjTmlTbZVH9lG3EH7C2,Top 50,11.524702175325945,138591,True,single,1,2.30985
36,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,20,33,51,164905,14,3oTuTpF1F3A7rEC6RKsMRz,Top 50,11.318548094238674,219743,False,album,10,3.6623833333333335
37,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,35,243,163709,14,7xWvRVssTTECvWCDNgCzSH,Top 50,11.095819746469589,246000,False,single,1,4.1
38,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,40,215,158405,14,3MNBUdX7zP4E0UhlfYenMf,Top 50,10.108067943319734,199826,True,album,14,3.330433333333333
39,spotify:track:66ku4Gq4k5xUqdVL4Oam2r,Werenoi,Poney,PLR Music / PGP Records,4,47,310,154068,14,66ku4Gq4k5xUqdVL4Oam2r,Top 50,9.30039834108351,230000,True,album,17,3.8333333333333335
40,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,39,235,152856,14,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,9.074690349866009,194607,False,album,12,3.24345
41,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,31,41,57,152255,14,7l3b0X95GdYfRuW8Kq5ixC,Top 50,8.962767492834889,150476,True,album,8,2.5079333333333333
42,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,10,48,338,149203,14,2RkZ5LkEzeHGRsmDqKwmaJ,Top 50,8.394400505049566,186964,False,album,11,3.1160666666666668
43,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,25,59,58,148780,14,3vJIaiTIHxHhYafTSPNiH4,Top 50,8.31562618138207,190822,False,album,24,3.1803666666666666
44,spotify:track:6ry3hSxPMcbbmPatUzLKLY,K2_sp,NOUS#2,10704286 Records DK,19,113,38,148041,14,6ry3hSxPMcbbmPatUzLKLY,Top 50,8.178003899608363,177867,True,single,1,2.96445
45,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,37,85,147421,14,0MsHYntRES1QW1VtuhfdUk,Top 50,8.062542715982248,172258,True,album,15,2.8709666666666664
46,spotify:track:65lCFhOz5RyYH52JryAf10,"Meryl, Eva",Coco Chanel,Maison Caviar,19,45,79,146397,14,65lCFhOz5RyYH52JryAf10,Top 50,7.871845535283634,130800,True,album,17,2.18
47,spotify:track:1VeDrlbLw18quxCqWfEFEi,Charlotte Cardin,Tant pis pour elle,Cult Nation,47,69,107,145887,14,1VeDrlbLw18quxCqWfEFEi,Top 50,7.776869400365379,158185,False,single,1,2.636416666666667
48,spotify:track:68oBz6xab6ATAobLCbtZXX,Ronisia,Solide,Epic,27,42,84,144824,14,68oBz6xab6ATAobLCbtZXX,Top 50,7.57890933876125,212400,False,single,5,3.54
49,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,46,141,142847,14,1xOqGUkyxGQRdCvGpvWKmL,Top 50,7.210737145166367,197226,False,single,2,3.2871
50,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,21,49,209,142530,14,1rIKgCH4H52lrvDcz50hS8,Top 50,7.151702959344627,200646,False,album,15,3.3441
1,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,143,479789,15,55vPnuXfuzXNW75JpuSczF,Top 10,69.95867606992479,176213,False,album,20,2.9368833333333333
2,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,115,408135,15,1yGJ40k7HLF3odITZPoQs4,Top 10,56.614715341625434,130500,False,single,1,2.175
3,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,3,40,367899,15,0T1CzbjyOEU60cL5G244di,Top 10,49.121656979721664,125454,True,single,1,2.0909
4,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,4,126,350400,15,35eK52MQkpWLxwyIAGKKXT,Top 10,45.86285818573235,147692,True,single,1,2.461533333333333
5,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,6,76,271725,15,3Bu67MTSsLLJNyZ8qg3itI,Top 10,31.21139266672502,164986,True,album,14,2.7497666666666665
6,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,7,31,271341,15,2ZxulKXVUpatqUe0quNMtP,Top 10,31.13988122396304,182000,True,single,1,3.033333333333333
7,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,5,122,260768,15,7EyB1sN9IUO1YXIoHTyZRk,Top 10,29.170895587706735,141389,False,album,25,2.3564833333333333
8,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,8,13,28,234755,15,5yVEQgC0GuEvvEcv9D8NpG,Top 10,24.326554023729134,125179,False,single,1,2.086316666666667
9,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,10,199,233875,15,0wLCA75tmsos5ZcVzqHFQ1,Top 10,24.162673634066266,158859,False,album,18,2.64765
10,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,9,394,229860,15,3sK8wGT43QFpWrvNQsrQya,Top 10,23.41496935622941,237117,True,album,17,3.95195
11,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,5,8,321,223767,15,5TFD2bmFKGhoCRbX61nXY5,Top 25,22.28028388552955,183685,False,album,17,3.0614166666666667
12,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,14,244,220524,15,4ffqxU54Ll4YRz5NVBe77w,Top 25,21.67634740407876,174493,True,album,17,2.9082166666666667
13,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,12,101,211227,15,4eGoCBOGEAQty5nfWRC0VD,Top 25,19.94498833283362,201103,False,single,1,3.3517166666666665
14,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,11,31,211169,15,5UpupDvr2w93ccnEmmhS5q,Top 25,19.934187125333114,183307,False,single,1,3.0551166666666667
15,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,20,171,180741,15,3qhlB30KknSejmIvZZLjOD,Top 25,14.267650197308265,159245,False,album,13,2.6540833333333333
16,spotify:track:39zpVyhyhefIUTW8XXxv01,"GIMS, Maes",T'avais raison,Black Belt,10,16,3,178920,15,39zpVyhyhefIUTW8XXxv01,Top 25,13.928529527335435,181083,True,single,1,3.01805
17,spotify:track:2Gysuuhf0SEoIsEiRuLVcY,Theodora,Des mythos,Virgin Records FR LAS (S&D),16,18,10,175397,15,2Gysuuhf0SEoIsEiRuLVcY,Top 25,13.27244928553737,177601,True,single,1,2.9600166666666667
18,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,11,15,13,174702,15,1IHWl5LamUGEuP4ozKQSXZ,Top 25,13.143021023246806,243716,True,album,23,4.061933333333333
19,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,12,19,150,172176,15,55lijDD6OAjLFFUHU9tcDm,Top 25,12.672609813828153,196795,False,single,1,3.279916666666667
20,spotify:track:6e4MfehUZ1wzSPwbOG3N4A,Black Cat,BMW,Atlantic France,20,33,6,164222,15,6e4MfehUZ1wzSPwbOG3N4A,Top 25,11.191354564534421,145631,True,single,1,2.427183333333333
21,spotify:track:5dnM53F6iHQZbyu8k5HUSg,"Soolking, L2B",Tour du monde,Universal Music MENA Distributed Labels,5,21,206,161841,15,5dnM53F6iHQZbyu8k5HUSg,Top 25,10.747946373867038,171489,False,album,15,2.85815
22,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,8,17,95,161572,15,2lTm559tuIvatlT1u0JYG2,Top 25,10.697851118390545,367725,True,album,17,6.12875
23,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,22,38,158706,15,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,10.164122485693056,152282,True,album,16,2.5380333333333334
24,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,23,136,153412,15,53iuhJlwXhSER5J2IYYv1W,Top 25,9.178232959698459,226073,False,album,12,3.767883333333333
25,spotify:track:61CH0VrEAdCQuhuFitZr18,Black Cat,Na Za Désolé,Atlantic France,25,25,7,150144,15,61CH0VrEAdCQuhuFitZr18,Top 25,8.569640785359523,207600,True,single,1,3.46
26,spotify:track:3kql0qldZ3x5qUxwmUgYGa,Nono La Grinta,Paris,MPR Records,1,28,319,148565,15,3kql0qldZ3x5qUxwmUgYGa,Top 50,8.275587222543983,172259,True,album,9,2.870983333333333
27,spotify:track:1LmeIVvg4CVTu6kicEVoAr,"Theodora, Jul",ZOU BISOU,Virgin Records FR LAS (S&D),6,24,262,144264,15,1LmeIVvg4CVTu6kicEVoAr,Top 50,7.474621818066696,162041,True,album,25,2.700683333333333
28,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,38,216,141669,15,3MNBUdX7zP4E0UhlfYenMf,Top 50,6.991360896276749,199826,True,album,14,3.330433333333333
29,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,26,307,140800,15,6wggq2ikhLMnS0o1deK2Xz,Top 50,6.829529011484663,184988,True,album,13,3.083133333333333
30,spotify:track:4zipUPcZZkWmxn2TEMummt,"La Rvfleuze, Freeze corleone",Serrure #667,SERRURE RECORDS / ATLANTIC FRANCE,13,27,10,140253,15,4zipUPcZZkWmxn2TEMummt,Top 50,6.7276624510919465,147810,True,single,1,2.4635
31,spotify:track:29rkopcjI0XyhncrHOdWm0,Ashvma,FOCUS,PDS RECORDS,15,29,58,137951,15,29rkopcjI0XyhncrHOdWm0,Top 50,6.298966249951116,138005,False,single,1,2.3000833333333333
32,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,20,36,52,132953,15,3oTuTpF1F3A7rEC6RKsMRz,Top 50,5.368200127752213,219743,False,album,10,3.6623833333333335
33,spotify:track:74bFjTmlTbZVH9lG3EH7C2,La Rvfleuze,Serrure #5,SERRURE RECORDS,5,35,185,132867,15,74bFjTmlTbZVH9lG3EH7C2,Top 50,5.3521845442169775,138591,True,single,1,2.30985
34,spotify:track:2hndzMd89P8nEG4jTRurPk,RnBoi,BTRD,DOUBLE JEU RECORDS,7,30,230,132473,15,2hndzMd89P8nEG4jTRurPk,Top 50,5.278810824299737,140487,False,single,1,2.34145
35,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,32,157,129014,15,6QQGjrXpBQjVTdSGaOUyRt,Top 50,4.6346491562953345,160000,True,album,19,2.6666666666666665
36,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,37,244,126889,15,7xWvRVssTTECvWCDNgCzSH,Top 50,4.238915260802604,246000,False,single,1,4.1
37,spotify:track:4R0HXKZBeDJerIq9oCnDIp,Bouss,Biff pas d'love,Le Grand Carré / Level Up Music,4,31,160,126618,15,4R0HXKZBeDJerIq9oCnDIp,Top 50,4.188447549895061,154455,True,album,43,2.57425
38,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,21,50,210,123167,15,1rIKgCH4H52lrvDcz50hS8,Top 50,3.545775703614866,200646,False,album,15,3.3441
39,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,45,86,121165,15,0MsHYntRES1QW1VtuhfdUk,Top 50,3.1729478171318326,172258,True,album,15,2.8709666666666664
40,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,12,34,35,118963,15,6J5kc12BW5HuP3d7C3vvx8,Top 50,2.7628743875436004,204768,True,album,17,3.4128
41,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,40,236,118804,15,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,2.733264180774968,194607,False,album,12,3.24345
42,spotify:track:6ry3hSxPMcbbmPatUzLKLY,K2_sp,NOUS#2,10704286 Records DK,19,44,39,117589,15,6ry3hSxPMcbbmPatUzLKLY,Top 50,2.506997506410889,177867,True,single,1,2.96445
43,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,10,42,339,117460,15,2RkZ5LkEzeHGRsmDqKwmaJ,Top 50,2.482974131108036,186964,False,album,11,3.1160666666666668
44,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,31,41,58,115749,15,7l3b0X95GdYfRuW8Kq5ixC,Top 50,2.164338509843066,150476,True,album,8,2.5079333333333333
45,spotify:track:0Jh6iWjna1wk5le0Ahn7No,Ninho,La vie qu'on mène,Rec. 118 / Mal Luné Music,2,53,2523,113973,15,0Jh6iWjna1wk5le0Ahn7No,Top 50,1.8335980870689061,193443,False,album,18,3.22405
46,spotify:track:6OuhnnHBGG1tKWCpi8nOlM,"RK, Genezio",VIANO,Hyper Focal Music / Family and Co Productions,2,51,211,113225,15,6OuhnnHBGG1tKWCpi8nOlM,Top 50,1.6942997558554649,111764,False,album,12,1.8627333333333331
47,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,49,142,112045,15,1xOqGUkyxGQRdCvGpvWKmL,Top 50,1.4745510515347957,197226,False,single,2,3.2871
48,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,25,43,59,110893,15,3vJIaiTIHxHhYafTSPNiH4,Top 50,1.2600167232488544,190822,False,album,24,3.1803666666666666
49,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,4,52,1054,109700,15,5kfAx6phDHPpz5g8IAPyc2,Top 50,1.037847058626347,212093,True,album,18,3.534883333333333
